president,enddate,Approve,Disapprove
Joseph R. Biden Jr.,1/21/2021,50.660689,38.504473
Joseph R. Biden Jr.,1/21/2021,48.757916,31.178806
Joseph R. Biden Jr.,1/21/2021,46.564763,28.224945
Joseph R. Biden Jr.,1/21/2021,53.911401,32.82575
Joseph R. Biden Jr.,1/22/2021,49.757916,31.178806
Joseph R. Biden Jr.,1/21/2021,54.757916,34.178806
Joseph R. Biden Jr.,1/23/2021,50.757916,32.178806
Joseph R. Biden Jr.,1/24/2021,50.660689,40.504473
Joseph R. Biden Jr.,1/22/2021,58.61391,37.567184
Joseph R. Biden Jr.,1/23/2021,56.505396,33.304864
Joseph R. Biden Jr.,1/24/2021,51.757916,32.178806
Joseph R. Biden Jr.,1/25/2021,50.660689,40.504473
Joseph R. Biden Jr.,1/24/2021,54.775883,29.791433
Joseph R. Biden Jr.,1/26/2021,54.577733,32.190494
Joseph R. Biden Jr.,1/25/2021,57.757916,35.178806
Joseph R. Biden Jr.,1/25/2021,51.757916,33.178806
Joseph R. Biden Jr.,1/25/2021,54.757916,35.178806
Joseph R. Biden Jr.,1/25/2021,55.827544,35.405649
Joseph R. Biden Jr.,1/26/2021,51.757916,33.178806
Joseph R. Biden Jr.,1/26/2021,52.564763,33.224945
Joseph R. Biden Jr.,1/26/2021,50.660689,41.504473
Joseph R. Biden Jr.,1/27/2021,52.757916,34.178806
Joseph R. Biden Jr.,1/27/2021,50.068353,34.63946
Joseph R. Biden Jr.,1/26/2021,56.757916,35.178806
Joseph R. Biden Jr.,1/27/2021,51.660689,41.504473
Joseph R. Biden Jr.,1/28/2021,53.757916,34.678806
Joseph R. Biden Jr.,1/28/2021,52.660689,38.504473
Joseph R. Biden Jr.,2/2/2021,56.348082,36.255017
Joseph R. Biden Jr.,1/29/2021,53.33425,33.042767
Joseph R. Biden Jr.,1/28/2021,54.757916,36.178806
Joseph R. Biden Jr.,1/29/2021,52.757916,35.178806
Joseph R. Biden Jr.,1/29/2021,54.622513,36.900073
Joseph R. Biden Jr.,1/29/2021,56.61391,39.567184
Joseph R. Biden Jr.,1/30/2021,54.091249,36.178806
Joseph R. Biden Jr.,1/30/2021,56.505396,36.304864
Joseph R. Biden Jr.,1/31/2021,51.660689,39.504473
Joseph R. Biden Jr.,2/1/2021,53.660689,38.504473
Joseph R. Biden Jr.,2/1/2021,57.469446,38.254031
Joseph R. Biden Jr.,1/31/2021,52.757916,36.178806
Joseph R. Biden Jr.,2/1/2021,52.681258,37.936822
Joseph R. Biden Jr.,2/1/2021,51.39254,35.759236
Joseph R. Biden Jr.,2/1/2021,52.757916,36.178806
Joseph R. Biden Jr.,2/1/2021,55.757916,36.178806
Joseph R. Biden Jr.,2/1/2021,56.757916,38.178806
Joseph R. Biden Jr.,2/2/2021,53.660689,40.504473
Joseph R. Biden Jr.,2/2/2021,47.564763,38.224945
Joseph R. Biden Jr.,2/2/2021,52.757916,36.178806
Joseph R. Biden Jr.,2/3/2021,54.660689,39.504473
Joseph R. Biden Jr.,2/3/2021,52.757916,36.178806
Joseph R. Biden Jr.,2/4/2021,51.660689,41.504473
